record_uid,subject_id,segment,n_reps_detected,comparison_reps_per_end,early_progress_rate,late_progress_rate,late_to_early_rate_ratio,early_rms_dynamic_g,late_rms_dynamic_g,candidate_weak_region
singleonly_subject081_Chest_Press_(rack)_record0001,536,late,20,6,0.7871097801835565,1.3569609359352297,1.7239792594354273,0.2659906154710686,0.3275756485308497,False
singleonly_subject083_Chest_Press_(rack)_record0001,509,early,14,5,0.8406713007597062,0.6278293125810497,0.7468190147727021,0.23231681715265848,0.13400307707324471,True
singleonly_subject083_Chest_Press_(rack)_record0001,509,middle,14,5,0.5691092281464837,0.5586588454376774,0.9816372987961522,0.3947734122303479,0.32606945242209445,False
singleonly_subject083_Chest_Press_(rack)_record0001,509,late,14,5,0.08919908325009095,0.07204513577774617,0.8076891953670691,0.5518673193978619,0.36291808501770684,False
singleonly_subject086_Chest_Press_(rack)_record0001,570,early,15,5,0.9351044612967566,0.2924314283520196,0.3127259471594116,0.3929048398159151,0.09188608677650897,True
singleonly_subject086_Chest_Press_(rack)_record0001,570,middle,15,5,0.0,0.48414983467062467,,0.4405803979664146,0.14738471218253332,False
singleonly_subject086_Chest_Press_(rack)_record0001,570,late,15,5,0.2866209349378879,0.8761533189044928,3.0568364418124565,0.47819738718075183,0.37276079285272895,False
singleonly_subject086_Chest_Press_(rack)_record0002,570,early,11,4,0.7714622743479155,0.8838981979599608,1.1457439039479704,0.18795125597160794,0.140616025911521,False
singleonly_subject086_Chest_Press_(rack)_record0002,570,middle,11,4,0.0,0.13712612186977777,,0.15740758066617067,0.2135721730868435,False
singleonly_subject086_Chest_Press_(rack)_record0002,570,late,11,4,0.17389097363691153,1.0837168802321906,6.232162932706427,0.22397071929398182,0.3671925125303033,False
singleonly_subject087_Chest_Press_(rack)_record0001,576,early,18,6,0.8322730867541386,0.8381686395625685,1.0070836759018875,0.2299853157859126,0.26568335035622426,False
singleonly_subject087_Chest_Press_(rack)_record0001,576,middle,18,6,0.2793850513910706,0.22163326602278283,0.7932896370770767,0.2956142967719647,0.27348301596281727,True
singleonly_subject087_Chest_Press_(rack)_record0001,576,late,18,6,0.1601619748098747,0.35853101848335867,2.2385526833629776,0.3386810523730373,0.38119561451344486,False
singleonly_subject089_Chest_Press_(rack)_record0001,579,early,16,5,0.5073789065833375,0.478912504775034,0.9438951808225636,0.12713349657681058,0.09390068306135257,False
singleonly_subject089_Chest_Press_(rack)_record0001,579,middle,16,5,0.02488470452264574,0.0,0.0,0.11746988010198393,0.12979972574804155,True
singleonly_subject089_Chest_Press_(rack)_record0001,579,late,16,5,1.081994746218504,1.2064807536519322,1.1150523215278985,0.3251697020050606,0.32463813266743236,False
singleonly_subject089_Chest_Press_(rack)_record0002,579,early,11,4,0.8095870815906243,2.610597766329681,3.224604030489898,0.09790578489486307,0.09901105129798128,False
singleonly_subject089_Chest_Press_(rack)_record0002,579,middle,11,4,0.9341260675916192,0.3713783638385601,0.39756771245668643,0.1339632174694531,0.20265909327183806,True
singleonly_subject089_Chest_Press_(rack)_record0002,579,late,11,4,0.5795857277024359,1.0873946551875253,1.8761584407851444,0.20465328938911465,0.24450537999004368,False
singleonly_subject089_Chest_Press_(rack)_record0003,579,early,14,5,1.1015743882187794,0.5213974545863205,0.47332024070513135,0.09365283315002847,0.11871583708090362,False
singleonly_subject089_Chest_Press_(rack)_record0003,579,middle,14,5,0.6756690041560114,0.9169248025317734,1.3570621071734945,0.20887421752472204,0.27397965291514065,False
singleonly_subject089_Chest_Press_(rack)_record0003,579,late,14,5,2.416635780188147,0.28870364147651284,0.11946510262048501,0.32492144194998873,0.35683512840823056,True
singleonly_subject089_Chest_Press_(rack)_record0004,579,early,8,3,0.8965318332193905,1.1498819992392892,1.2825891470134796,0.3099468868456106,0.12808838856268612,False
singleonly_subject089_Chest_Press_(rack)_record0004,579,middle,8,3,0.3352636093287379,0.3506540250332123,1.045905416741438,0.32773212453171346,0.10430699832362282,False
singleonly_subject089_Chest_Press_(rack)_record0004,579,late,8,3,0.3829910900591631,0.583362084418346,1.5231740360545472,0.351958712506609,0.1709670561169841,False
singleonly_subject091_Chest_Press_(rack)_record0001,564,early,21,7,0.7382271794279655,0.8422709541879043,1.140937339696108,0.173959463609986,0.1083334137323237,False
singleonly_subject091_Chest_Press_(rack)_record0001,564,middle,21,7,0.4792930137473611,0.6270584054241815,1.3082986553914357,0.3230470719841829,0.21308243750472927,False
singleonly_subject091_Chest_Press_(rack)_record0001,564,late,21,7,1.1205568430243433,0.9842881045017811,0.8783919447095805,0.4238341808943242,0.30950124927539,True
singleonly_subject092_Chest_Press_(rack)_record0001,231,early,17,6,0.575840631299888,0.6127278162603925,1.0640579753416084,0.08085410945668448,0.1613460084948874,False
singleonly_subject092_Chest_Press_(rack)_record0001,231,middle,17,6,0.29230953419284555,0.5771318505246065,1.9743859950317424,0.10386353933849035,0.19852532544356583,False
singleonly_subject092_Chest_Press_(rack)_record0001,231,late,17,6,0.9240605254809371,0.7538380703555655,0.8157886302558185,0.23542178909631686,0.39793854547514707,True
singleonly_subject093_Chest_Press_(rack)_record0001,549,early,2,2,0.3467695929488077,0.3467695929488077,1.0,0.061549839313943894,0.061549839313943894,False
singleonly_subject093_Chest_Press_(rack)_record0001,549,middle,2,2,1.0792344647588545,1.0792344647588545,1.0,0.20808532115665804,0.20808532115665804,False
singleonly_subject093_Chest_Press_(rack)_record0001,549,late,2,2,0.8991707674671627,0.8991707674671627,1.0,0.41240828485561376,0.41240828485561376,False
singleonly_subject093_Chest_Press_(rack)_record0002,549,early,20,6,0.6574098183274913,0.4556256096749219,0.693061765998679,0.07799313769892038,0.09557136484937409,False
singleonly_subject093_Chest_Press_(rack)_record0002,549,middle,20,6,1.1538805080373797,1.0164980369959986,0.8809387366504239,0.20918651709251834,0.2599450678907047,False
singleonly_subject093_Chest_Press_(rack)_record0002,549,late,20,6,1.462064033822267,0.8476322405288974,0.5797504219517229,0.41220845980201104,0.49086584180498477,True
singleonly_subject094_Chest_Press_(rack)_record0001,590,early,11,4,1.0123269163300326,2.2178845438968087,2.1908777768522234,0.12314949444871753,0.0642984869551837,False
singleonly_subject094_Chest_Press_(rack)_record0001,590,middle,11,4,0.33883386537869686,7.642671291920747,22.555807057181056,0.1925643331809933,0.1559873612377159,False
singleonly_subject094_Chest_Press_(rack)_record0001,590,late,11,4,2.02224261894598,4.298748132498451,2.1257331302507194,0.30459186750358747,0.37863845326301865,False
