record_uid,aX_tempo_s,aYZPC1_tempo_s,gPC1_tempo_s,exercise
singleonly_subject007_Squat_Rack_Shoulder_Press_record0001,5.16,0.5,5.08,Squat Rack Shoulder Press
singleonly_subject014_Squat_Rack_Shoulder_Press_record0001,3.64,3.64,1.76,Squat Rack Shoulder Press
singleonly_subject014_Squat_Rack_Shoulder_Press_record0002,0.5,0.5,3.38,Squat Rack Shoulder Press
singleonly_subject015_Squat_Rack_Shoulder_Press_record0001,5.78,2.9,2.88,Squat Rack Shoulder Press
singleonly_subject033_Squat_Rack_Shoulder_Press_record0001,2.58,0.5,2.56,Squat Rack Shoulder Press
singleonly_subject053_Squat_Rack_Shoulder_Press_record0001,5.22,0.5,0.5,Squat Rack Shoulder Press
singleonly_subject054_Squat_Rack_Shoulder_Press_record0001,2.46,0.5,0.5,Squat Rack Shoulder Press
singleonly_subject054_Squat_Rack_Shoulder_Press_record0002,4.3,2.12,4.3,Squat Rack Shoulder Press
singleonly_subject055_Squat_Rack_Shoulder_Press_record0001,3.0,0.5,1.44,Squat Rack Shoulder Press
singleonly_subject057_Squat_Rack_Shoulder_Press_record0001,2.82,2.8,1.36,Squat Rack Shoulder Press
singleonly_subject057_Squat_Rack_Shoulder_Press_record0002,2.4,2.5,2.48,Squat Rack Shoulder Press
singleonly_subject065_Squat_Rack_Shoulder_Press_record0001,0.56,0.5,2.6,Squat Rack Shoulder Press
singleonly_subject066_Squat_Rack_Shoulder_Press_record0001,8.12,4.18,4.14,Squat Rack Shoulder Press
singleonly_subject066_Squat_Rack_Shoulder_Press_record0002,3.74,3.78,3.76,Squat Rack Shoulder Press
singleonly_subject067_Squat_Rack_Shoulder_Press_record0001,3.22,3.26,3.22,Squat Rack Shoulder Press
singleonly_subject068_Squat_Rack_Shoulder_Press_record0001,3.98,3.98,3.98,Squat Rack Shoulder Press
singleonly_subject069_Squat_Rack_Shoulder_Press_record0001,3.72,3.7,3.66,Squat Rack Shoulder Press
singleonly_subject071_Squat_Rack_Shoulder_Press_record0001,4.46,4.54,4.48,Squat Rack Shoulder Press
singleonly_subject072_Squat_Rack_Shoulder_Press_record0001,4.3,4.32,4.3,Squat Rack Shoulder Press
singleonly_subject073_Squat_Rack_Shoulder_Press_record0001,3.08,3.0,3.02,Squat Rack Shoulder Press
singleonly_subject074_Squat_Rack_Shoulder_Press_record0001,3.32,3.32,3.32,Squat Rack Shoulder Press
singleonly_subject075_Squat_Rack_Shoulder_Press_record0001,6.02,0.52,1.5,Squat Rack Shoulder Press
singleonly_subject076_Squat_Rack_Shoulder_Press_record0001,2.02,1.96,2.02,Squat Rack Shoulder Press
singleonly_subject077_Squat_Rack_Shoulder_Press_record0001,2.56,2.6,2.6,Squat Rack Shoulder Press
singleonly_subject078_Squat_Rack_Shoulder_Press_record0001,3.36,3.36,3.3,Squat Rack Shoulder Press
singleonly_subject079_Squat_Rack_Shoulder_Press_record0001,0.5,0.5,1.38,Squat Rack Shoulder Press
singleonly_subject080_Squat_Rack_Shoulder_Press_record0001,2.88,0.5,3.1,Squat Rack Shoulder Press
singleonly_subject081_Squat_Rack_Shoulder_Press_record0001,3.82,3.86,4.04,Squat Rack Shoulder Press
singleonly_subject082_Squat_Rack_Shoulder_Press_record0001,2.42,2.3,1.16,Squat Rack Shoulder Press
singleonly_subject083_Squat_Rack_Shoulder_Press_record0001,5.18,5.24,5.22,Squat Rack Shoulder Press
singleonly_subject085_Squat_Rack_Shoulder_Press_record0001,3.38,3.26,3.3,Squat Rack Shoulder Press
singleonly_subject088_Squat_Rack_Shoulder_Press_record0001,0.5,0.5,3.78,Squat Rack Shoulder Press
singleonly_subject001_Lateral_Raise_record0001,1.94,0.98,1.92,Lateral Raise
singleonly_subject007_Lateral_Raise_record0001,3.48,3.62,12.88,Lateral Raise
singleonly_subject014_Lateral_Raise_record0001,2.68,1.34,2.66,Lateral Raise
singleonly_subject015_Lateral_Raise_record0001,1.9,1.9,1.9,Lateral Raise
singleonly_subject033_Lateral_Raise_record0001,1.64,1.66,1.64,Lateral Raise
singleonly_subject053_Lateral_Raise_record0001,4.14,4.14,4.16,Lateral Raise
singleonly_subject054_Lateral_Raise_record0001,2.28,1.1,2.26,Lateral Raise
singleonly_subject055_Lateral_Raise_record0001,2.46,0.5,2.22,Lateral Raise
singleonly_subject055_Lateral_Raise_record0002,0.5,0.5,3.8,Lateral Raise
singleonly_subject057_Lateral_Raise_record0001,1.88,1.9,1.88,Lateral Raise
singleonly_subject057_Lateral_Raise_record0002,2.04,2.02,2.02,Lateral Raise
singleonly_subject065_Lateral_Raise_record0001,3.68,3.72,3.68,Lateral Raise
singleonly_subject066_Lateral_Raise_record0001,5.1,5.12,5.06,Lateral Raise
singleonly_subject067_Lateral_Raise_record0001,2.56,2.56,2.54,Lateral Raise
singleonly_subject068_Lateral_Raise_record0001,2.64,2.64,2.64,Lateral Raise
singleonly_subject069_Lateral_Raise_record0001,6.3,6.3,3.18,Lateral Raise
singleonly_subject070_Lateral_Raise_record0001,1.7,1.68,1.68,Lateral Raise
singleonly_subject070_Lateral_Raise_record0002,1.58,1.6,1.58,Lateral Raise
singleonly_subject071_Lateral_Raise_record0001,3.18,3.2,3.2,Lateral Raise
singleonly_subject072_Lateral_Raise_record0001,2.62,2.62,2.64,Lateral Raise
singleonly_subject073_Lateral_Raise_record0001,2.76,2.78,2.76,Lateral Raise
singleonly_subject074_Lateral_Raise_record0001,3.9,3.66,7.18,Lateral Raise
singleonly_subject075_Lateral_Raise_record0001,1.82,1.84,1.82,Lateral Raise
singleonly_subject076_Lateral_Raise_record0001,1.56,1.54,1.56,Lateral Raise
singleonly_subject077_Lateral_Raise_record0001,3.46,3.66,3.56,Lateral Raise
singleonly_subject078_Lateral_Raise_record0001,2.94,2.96,2.94,Lateral Raise
singleonly_subject078_Lateral_Raise_record0002,2.8,2.76,2.78,Lateral Raise
singleonly_subject079_Lateral_Raise_record0001,1.94,1.94,1.92,Lateral Raise
singleonly_subject080_Lateral_Raise_record0001,2.5,2.52,2.5,Lateral Raise
singleonly_subject081_Lateral_Raise_record0001,2.3,2.3,2.3,Lateral Raise
singleonly_subject081_Lateral_Raise_record0002,2.12,2.12,2.12,Lateral Raise
singleonly_subject082_Lateral_Raise_record0001,2.64,2.56,2.6,Lateral Raise
singleonly_subject083_Lateral_Raise_record0001,4.34,4.34,4.32,Lateral Raise
singleonly_subject085_Lateral_Raise_record0001,2.72,2.76,2.66,Lateral Raise
singleonly_subject088_Lateral_Raise_record0001,2.3,2.28,2.3,Lateral Raise
