record_uid,activity_name,subject_row_index,subject_id,recording_id,activity_reps,incomplete_data,master_sample_rows
singleonly_subject066_Squat_Rack_Shoulder_Press_record0002,Squat Rack Shoulder Press,66,535,735160.61315972218,13,0,2446
singleonly_subject067_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,67,542,735166.39054398146,20,0,3345
singleonly_subject068_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,68,541,735166.44664351852,20,0,4129
singleonly_subject069_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,69,543,735167.38905092597,21,0,4056
singleonly_subject071_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,71,546,735172.4454282407,20,0,3990
singleonly_subject072_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,72,550,735174.44585648144,20,0,4488
singleonly_subject073_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,73,17,735174.44659722224,15,0,2229
singleonly_subject074_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,74,551,735175.44167824078,20,0,3383
singleonly_subject075_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,75,547,735175.37893518514,13,0,2689
singleonly_subject076_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,76,454,735175.60597222217,14,0,1377
singleonly_subject077_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,77,556,735180.38607638888,15,0,2029
singleonly_subject078_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,78,559,735180.61479166662,15,0,2564
singleonly_subject079_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,79,555,735181.38391203701,15,0,3950
singleonly_subject080_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,80,560,735182.61635416665,15,0,2626
singleonly_subject081_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,81,536,735187.3857986111,15,0,2694
singleonly_subject082_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,82,567,735188.39000000001,15,0,2105
singleonly_subject083_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,83,509,735187.44900462963,15,0,3909
singleonly_subject085_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,85,530,735188.38245370367,12,0,2020
singleonly_subject088_Squat_Rack_Shoulder_Press_record0001,Squat Rack Shoulder Press,88,561,735181.44898148149,15,0,3022
singleonly_subject001_Lateral_Raise_record0001,Lateral Raise,1,3,735173.48251157405,15,0,1451
singleonly_subject007_Lateral_Raise_record0001,Lateral Raise,7,81,735181.67620370374,20,0,3393
singleonly_subject014_Lateral_Raise_record0001,Lateral Raise,14,23,735158.45910879632,10,0,1339
singleonly_subject015_Lateral_Raise_record0001,Lateral Raise,15,76,735158.55993055552,14,0,1337
singleonly_subject033_Lateral_Raise_record0001,Lateral Raise,33,502,735161.61280092597,15,1,1233
singleonly_subject053_Lateral_Raise_record0001,Lateral Raise,53,533,735160.38216435187,18,0,3701
singleonly_subject054_Lateral_Raise_record0001,Lateral Raise,54,534,735160.44792824076,20,0,3019
singleonly_subject055_Lateral_Raise_record0001,Lateral Raise,55,537,735161.45284722222,1,0,464
singleonly_subject055_Lateral_Raise_record0002,Lateral Raise,55,537,735161.45284722222,20,0,4485
singleonly_subject057_Lateral_Raise_record0001,Lateral Raise,57,525,735179.54924768524,20,0,1905
singleonly_subject057_Lateral_Raise_record0002,Lateral Raise,57,525,735187.67422453698,14,0,1424
singleonly_subject065_Lateral_Raise_record0001,Lateral Raise,65,528,735161.54792824073,5,0,887
singleonly_subject066_Lateral_Raise_record0001,Lateral Raise,66,535,735160.61315972218,15,0,3817
singleonly_subject067_Lateral_Raise_record0001,Lateral Raise,67,542,735166.39054398146,20,0,2561
singleonly_subject068_Lateral_Raise_record0001,Lateral Raise,68,541,735166.44664351852,20,0,2614
singleonly_subject069_Lateral_Raise_record0001,Lateral Raise,69,543,735167.38905092597,14,0,2486
singleonly_subject070_Lateral_Raise_record0001,Lateral Raise,70,545,735172.38795138884,9,0,800
singleonly_subject070_Lateral_Raise_record0002,Lateral Raise,70,545,735172.38795138884,9,0,760
singleonly_subject071_Lateral_Raise_record0001,Lateral Raise,71,546,735172.4454282407,15,0,2312
singleonly_subject072_Lateral_Raise_record0001,Lateral Raise,72,550,735174.44585648144,15,0,1942
singleonly_subject073_Lateral_Raise_record0001,Lateral Raise,73,17,735174.44659722224,15,0,2089
singleonly_subject074_Lateral_Raise_record0001,Lateral Raise,74,551,735175.44167824078,15,0,2443
singleonly_subject075_Lateral_Raise_record0001,Lateral Raise,75,547,735175.37893518514,15,0,1411
singleonly_subject076_Lateral_Raise_record0001,Lateral Raise,76,454,735175.60597222217,15,0,1196
singleonly_subject077_Lateral_Raise_record0001,Lateral Raise,77,556,735180.38607638888,15,0,2612
singleonly_subject078_Lateral_Raise_record0001,Lateral Raise,78,559,735180.61479166662,10,0,1431
singleonly_subject078_Lateral_Raise_record0002,Lateral Raise,78,559,735180.61479166662,10,0,1385
singleonly_subject079_Lateral_Raise_record0001,Lateral Raise,79,555,735181.38391203701,20,0,1909
singleonly_subject080_Lateral_Raise_record0001,Lateral Raise,80,560,735182.61635416665,15,0,1996
singleonly_subject081_Lateral_Raise_record0001,Lateral Raise,81,536,735187.3857986111,12,0,1361
singleonly_subject081_Lateral_Raise_record0002,Lateral Raise,81,536,735187.3857986111,10,0,1041
singleonly_subject082_Lateral_Raise_record0001,Lateral Raise,82,567,735188.39000000001,19,0,2494
singleonly_subject083_Lateral_Raise_record0001,Lateral Raise,83,509,735187.44900462963,15,0,3254
singleonly_subject085_Lateral_Raise_record0001,Lateral Raise,85,530,735188.38245370367,14,0,1874
singleonly_subject088_Lateral_Raise_record0001,Lateral Raise,88,561,735181.44898148149,15,0,1717
